place,1way_int_count_bike,1way_int_prop_bike,2way_int_count_bike,2way_int_prop_bike,3way_int_count_bike,3way_int_prop_bike,4way_int_count_bike,4way_int_prop_bike,5way_int_count_bike,5way_int_prop_bike,6way_int_count_bike,6way_int_prop_bike,7way_int_count_bike,7way_int_prop_bike,8way_int_count_bike,8way_int_prop_bike,circuity_avg_bike,disconnected_components_bike,edge_density_km_bike,edge_length_avg_bike,edge_length_total_bike,entropy_bike,intersection_count_bike,intersection_density_km_bike,k_avg_bike,length_bike,linearity_mean_bike,linearity_median_bike,m_bike,n_bike,node_density_km_bike,self_loop_proportion_bike,street_density_km_bike,street_length_avg_bike,street_length_total_bike,street_segment_count_bike,streets_per_node_avg_bike,1way_int_count_road,1way_int_prop_road,2way_int_count_road,2way_int_prop_road,3way_int_count_road,3way_int_prop_road,4way_int_count_road,4way_int_prop_road,5way_int_count_road,5way_int_prop_road,6way_int_count_road,6way_int_prop_road,7way_int_count_road,7way_int_prop_road,8way_int_count_road,8way_int_prop_road,circuity_avg_road,disconnected_components_road,edge_density_km_road,edge_length_avg_road,edge_length_total_road,entropy_road,intersection_count_road,intersection_density_km_road,k_avg_road,length_road,linearity_mean_road,linearity_median_road,m_road,n_road,node_density_km_road,self_loop_proportion_road,street_density_km_road,street_length_avg_road,street_length_total_road,street_segment_count_road,streets_per_node_avg_road
"City of Chester, United Kingdom",2,0.006349206349206349,0,0.0,238,0.7555555555555555,71,0.2253968253968254,4,0.012698412698412698,,,,,,,1.0566775402556534,45.0,19253994544522.56,90.19622586520953,49517.72800000003,3.4450481853560055,313,121703893450.7568,3.4857142857142858,4.9517728,0.9636021210788854,0.9992272940536623,549,315,122481554111.78401,0.007220216606498195,9653179940227.072,89.62527436823109,24826.201000000012,277,3.238095238095238,824,0.33400891771382246,20,0.008107012565869477,1533,0.6214025131738954,88,0.0356708552898257,2,0.0008107012565869477,,,,,,,1.077128485358931,1.0,157109314735166.94,73.93526495882894,404056.2230000002,3.5547782598863074,1643,638848233033.8448,4.430482367247669,40.405622300000005,0.9612013116455764,0.9999905205009445,5465,2467,959244425377.0513,0.004499826929733472,82134206254887.05,73.11666735894781,211234.0520000002,2889,2.361167409809485
"City of Durham, United Kingdom",5,0.012853470437017995,0,0.0,270,0.6940874035989717,106,0.27249357326478146,7,0.017994858611825194,1,0.002570694087403599,,,,,1.0235629189300517,32.0,21416279334042.953,59.023961696306536,43146.516000000076,3.5284725426636436,384,190602904398.41028,3.7583547557840618,4.3146516,0.9726730257553232,0.9996277842426772,731,389,193084713049.43124,0.0,10728387751081.672,59.054784153005436,21614.05099999999,366,3.290488431876607,251,0.3337765957446808,9,0.011968085106382979,461,0.613031914893617,29,0.03856382978723404,2,0.0026595744680851063,,,,,,,1.0756206019295975,1.0,64403819506958.92,83.49535585585569,129751.78299999975,3.5428543278714466,501,248677226832.3009,4.132978723404255,12.9751783,0.9576928549434242,0.9984058597260084,1554,752,373264021113.55347,0.0056753688989784334,35958044998933.34,82.22840635641302,72443.22599999986,881,2.3643617021276597
"Columbus, USA",82,0.0464326160815402,0,0.0,1010,0.5719139297848245,664,0.37599093997734995,10,0.0056625141562853904,,,,,,,1.0965427020290122,119.0,6148879228885.326,105.9397493685095,377463.32699999935,3.360234132818383,1684,27432367281.187313,4.0351075877689695,37.7463327,0.964409800771517,0.9982327346384781,3563,1766,28768147635.734436,0.0,3074872708642.623,105.86553561413353,188758.2500000001,1783,3.2944507361268403,3934,0.17679309724968542,122,0.005482653244652166,14255,0.6406165737911199,3838,0.17247887830307387,100,0.004493978069387021,,,,,,,1.0875514814756062,1.0,130815462100501.62,138.65620857794065,8030412.976000011,3.0148791612677774,18318,298400299202.3689,5.205464677332374,803.0412976,0.9531584259410418,0.999980818726895,57916,22252,362485176211.9834,0.008155239660896754,72843813694179.69,144.14105038197457,4471687.805999997,31023,2.82280244472407
"Copenhagen Municipality, Denmark",61,0.007671990944535278,10,0.0012577034335303735,5302,0.6668343604578041,2379,0.29920764683687584,160,0.020123254936485976,34,0.00427619167400327,3,0.00037731103005911207,2,0.00025154068670607473,1.023361347044745,488.0,55919490658562.65,53.189839611002334,732902.8000000012,3.5756594604405763,7890,601996310146.5277,3.465979122123003,73.29028000000001,0.9852232280458322,0.9999999999999999,13779,7951,606650527500.0052,0.00038284839203675346,31047615741514.836,51.92984201123015,406922.24199999945,7836,3.3384479939630234,918,0.13138686131386862,115,0.0164591383998855,4412,0.6314584227851725,1458,0.20867325032202663,75,0.010734220695577501,8,0.0011449835408616,1,0.0001431229426077,,,1.0439755082069353,1.0,135651608934288.05,101.43217976951183,1777903.2470000035,3.550174406989581,6069,463056477348.45074,5.0173178760555315,177.7903247,0.9775864380103666,0.9999991648405354,17528,6987,533098633586.03156,0.002822659139575628,78740183548048.25,100.4477088767767,1031999.7610000038,10274,2.9549162730785743
"County Borough of Belfast, United Kingdom",15,0.013673655423883319,4,0.0036463081130355514,755,0.6882406563354604,314,0.2862351868732908,5,0.004557885141294439,4,0.0036463081130355514,,,,,1.0751513710988805,85.0,16926702901996.74,76.06464544138929,157682.00999999998,3.552489244761516,1082,116149537540.52522,3.779398359161349,15.768201000000001,0.9643263868863453,0.9990581783412813,2073,1097,117759743698.6656,0.0009302325581395349,8929579988569.139,77.38064465116288,83184.1930000001,1075,3.275296262534184,2352,0.28402366863905326,29,0.003501992512981524,5389,0.6507668156019805,491,0.0592923559956527,16,0.0019321338002656683,4,0.0004830334500664171,,,,,1.064860330677911,1.0,159550577994615.38,77.32315830818848,1486305.748999999,3.559992188197627,5929,636460820774.2828,4.642434488588335,148.63057490000003,0.9666678044756215,0.9999899029294997,19222,8281,888941146370.6926,0.0014582928251993,85897752631762.83,77.79381275520142,800187.1580000017,10286,2.4930563941552952
"Coventry, United Kingdom",24,0.012903225806451613,10,0.005376344086021506,1240,0.6666666666666666,569,0.30591397849462365,16,0.008602150537634409,1,0.0005376344086021505,,,,,1.0431638688931302,118.0,17124624150501.53,63.4665108015919,223275.18500000032,3.555127761028621,1836,140816409760.54175,3.782795698924731,22.3275185,0.9705360812008096,0.9997936018905043,3518,1860,142657147143.03247,0.0,8596568849866.722,63.074980866629105,112084.24099999992,1777,3.293548387096774,3038,0.31751672240802675,62,0.006479933110367893,6101,0.6376463210702341,360,0.03762541806020067,5,0.0005225752508361204,2,0.00020903010033444816,,,,,1.0538645059764027,1.0,135193934258492.27,84.08590092067088,1762692.7410000237,3.5643151842967074,6530,500833962819.35596,4.3818979933110365,176.26927410000002,0.9680880015243676,0.9994850553075666,20963,9568,733840636486.309,0.002621231979030144,73204693377880.73,83.39548492791577,954461.324999996,11445,2.3977842809364547
"District Zurich, Switzerland",30,0.00904977375565611,11,0.0033182503770739064,2072,0.6250377073906486,1074,0.3239819004524887,103,0.031070889894419307,18,0.005429864253393665,7,0.0021116138763197585,,,1.0432659026718725,409.0,21994361494181.484,44.737389405204645,240687.155000001,3.550044003090474,3285,300188339956.8451,3.2458521870286576,24.0687155,0.98247014476077,0.9999999999999998,5380,3315,302929785983.84827,0.0003316749585406302,12558608661127.084,45.582250746268684,137430.4860000001,3015,3.389441930618401,656,0.14291938997821352,272,0.05925925925925926,2841,0.6189542483660131,777,0.169281045751634,38,0.008278867102396514,6,0.00130718954248366,,,,,1.0440217145977306,1.0,112210138753957.44,117.14654884563978,1227930.1249999963,3.5573372684643862,3934,359494955674.3466,4.567320261437908,122.7930125,0.9755671532449797,0.9992602286045748,10482,4590,419441242131.48224,0.0010736196319018406,68588023220223.33,115.11773742331287,750567.6479999999,6520,2.8446623093681915
"Dubai, UAE",199,0.04839494163424125,11,0.0026750972762645915,2094,0.5092412451361867,1726,0.41974708171206226,74,0.01799610894941634,4,0.0009727626459143969,2,0.00048638132295719845,2,0.00048638132295719845,1.1732486667204487,255.0,2495591671514.9053,161.78918114874745,1318258.247999994,3.472291851295168,3913,7407691342.309635,3.963035019455253,131.82582480000002,0.9558398835683555,0.9999999999999998,8148,4112,7784417786.756253,0.0036407766990291263,1278941893327.339,163.97610533980546,675581.5539999985,4120,3.3635700389105057,3668,0.06495829422494555,1294,0.02291603945667381,47586,0.8427222979793507,3568,0.06318734836276055,312,0.005525351090017178,32,0.0005667026758991978,5,8.854729310924964e-05,2,3.541891724369986e-05,1.0737296616274021,1.0,30476858122895.45,140.6131101658649,16098935.596000038,3.55279056538717,52799,99953666031.84422,4.055147254148441,1609.8935596000001,0.9621644938444969,0.9998042619287767,114491,56467,106897548435.01103,0.00311762723289518,21436065846702.188,136.30019414752854,11323274.929000081,83076,2.9236368144225833
"Durham, United Kingdom",46,0.012124406958355299,14,0.0036900369003690036,2612,0.6884554559831313,1072,0.28255139694254083,49,0.012915129151291513,1,0.0002635740643120717,,,,,1.0419457596545338,397.0,3697246641688.11,168.55486189220898,1150892.5970000029,3.575713347261689,3748,12040463592.491943,3.599367422245651,115.08925970000001,0.9694668408455938,0.9976314501207508,6828,3794,12188238759.315483,0.0002875215641173088,1869487055753.3867,167.32054025301846,581940.8389999982,3478,3.2812335266209804,9184,0.3446153846153846,63,0.0023639774859287054,16541,0.6206754221388368,847,0.031782363977485927,15,0.0005628517823639775,,,,,,,1.0729627119324678,1.0,23659348396925.95,123.47465709351998,7364769.397000093,3.568003734301197,17466,56109588342.172966,4.47624765478424,736.4769396999999,0.9584509356797637,0.9999118315885219,59646,26650,85613221648.85545,0.0034021247231761725,12303869698376.334,122.92563552331703,3829994.0259999884,31157,2.341313320825516
"Edinburgh, United Kingdom",60,0.013380909901873328,2,0.00044603033006244426,3333,0.7433095450490633,1037,0.23126672613737734,48,0.010704727921498661,4,0.0008920606601248885,,,,,1.0472984056911105,427.0,15990513218350.197,74.56693714353617,627555.3430000003,3.5604196204546237,4424,112726361534.58937,3.753791257805531,62.7555343,0.964599835808092,0.9994889058355851,8416,4484,114255200072.58109,0.00047080979284369113,8031861653991.827,74.20297881355924,315214.25399999967,4248,3.2281445138269405,3983,0.29712793733681464,88,0.006564714658709437,8634,0.6440880268556509,681,0.05080193957478553,15,0.0011189854531891085,4,0.00029839612085042893,,,,,1.0761982504679086,1.0,76470896962964.58,97.02369533169492,3001136.9439999876,3.5389297185704067,9422,240078611749.2995,4.614994405072734,300.1136944,0.9564222939864423,0.9997291201462831,30932,13405,341568010029.6497,0.007844329583460019,41379898687227.81,98.75183490422606,1623973.9249999975,16445,2.4531145095113764
"Glasgow City, United Kingdom",35,0.011467889908256881,1,0.000327653997378768,2062,0.6756225425950196,893,0.29259501965923984,49,0.016055045871559634,11,0.0036041939711664484,1,0.000327653997378768,,,1.0689135522740882,311.0,18334489109863.49,81.72410570824535,463866.0240000006,3.559029868477543,3017,119248125067.3752,3.7195281782437744,46.3866024,0.9618958194470504,0.9990548902524322,5676,3052,120631513989.27051,0.0010179843909060061,9602516891145.525,82.4382368510351,242945.48400000043,2947,3.313564875491481,3839,0.2368291178285009,99,0.006107341147439852,10544,0.6504626773596546,1694,0.10450339296730414,32,0.001974090067859346,2,0.00012338062924120913,,,,,1.0787039118780817,1.0,144381525039968.25,95.7931384365244,3652879.7479999852,3.5329202931378014,12371,488968695793.3373,4.704873534855028,365.2879748,0.9541984895921295,0.9999613841251381,38133,16210,640706697826.3679,0.008047437526471834,81841788694658.25,97.44518104381324,2070612.6519999874,21249,2.629056138186305
"Groningen, Netherlands",33,0.007735583684950774,6,0.0014064697609001407,2272,0.5325832161275199,1873,0.43905297702766055,71,0.016643225503984997,10,0.0023441162681669013,1,0.00023441162681669012,,,1.0247367737341135,178.0,34951278836901.723,58.62105405002989,393698.99900000077,3.450038999125685,4233,375791565872.39557,3.1486169714017813,39.3698999,0.9877854543553211,0.9999995212462118,6716,4266,378721195372.46387,0.0,21068464107315.305,55.35803079076264,237319.87799999944,4287,3.463431786216596,774,0.15473810475809677,74,0.01479408236705318,3344,0.6685325869652139,790,0.15793682526989206,18,0.003598560575769692,2,0.00039984006397441024,,,,,1.0858853629298928,1.0,107007136121087.9,105.23417530993522,1205352.243999998,3.415231947902699,4228,375347682614.8095,4.579768092762895,120.5352244,0.948692080840855,0.9998994199513207,11454,5002,444060810889.13837,0.010998307952622674,66562057313005.44,105.72051001128028,749769.8569999997,7092,2.842063174730108
"Gurugram, India",0,0.0,0,0.0,29,0.5178571428571429,27,0.48214285714285715,,,,,,,,,1.0295240949094107,9.0,140392711424.03735,164.76063265306118,16146.541999999996,1.6923959975743539,56,486914897.30408496,3.5,1.6146542,0.9741320424947884,0.9999810326286064,98,56,486914897.30408496,0.0,70196355712.01869,164.7606326530612,8073.270999999999,49,3.482142857142857,10016,0.18970774854631892,67,0.0012690114968653523,37738,0.7147754607269352,4959,0.09392579123813853,,,,,,,,,1.0643453494292328,1.0,118357953905983.62,100.64642447633669,13612328.264000062,3.3742440342085542,42781,371976896813.6796,5.123359281777374,1361.2328264,0.9706728278576767,0.9999999999999999,135249,52797,459065104160.0674,0.0009223674096848578,64644953731663.4,103.90336380406733,7434805.197000038,71555,2.7139041991022217
"Hannover, Germany",130,0.010974168495694749,48,0.0040520006753334455,6315,0.5330913388485565,5148,0.43457707242951205,185,0.01561708593618099,18,0.0015195002532500423,2,0.00016883336147222692,,,1.0150208895976125,426.0,48751946505721.06,61.78324705826941,1312646.866999992,3.535140269289523,11716,435134398763.6482,3.587033597838933,131.26468670000003,0.9910790668311187,0.9999999999999999,21246,11846,439962622717.15405,0.0,27731285966634.3,61.01203440104586,746665.2769999992,12238,3.4450447408407903,1428,0.18730325288562436,80,0.01049317943336831,4950,0.6492654774396642,1107,0.145199370409234,47,0.006164742917103882,12,0.0015739769150052466,,,,,1.05858579422682,1.0,90699263734828.7,128.53723838096707,2442078.991999993,3.5164474234990535,6196,230120581660.93924,4.983997901364114,244.2078992,0.9659848939184816,0.9999597819855273,18999,7624,283156764780.98785,0.005112668055292559,52173711384243.35,133.00302366975873,1404777.9359999918,10562,2.7771511017838404
"Harare, Zimbabwe",4,0.3076923076923077,0,0.0,3,0.23076923076923078,6,0.46153846153846156,,,,,,,,,1.0088721860572594,3.0,62973349604.35954,257.0657,5141.314,2.857102837442002,9,110236438.86353487,3.076923076923077,0.5141314,0.9883649813643368,0.9948590438554683,20,13,159230411.69177258,0.0,31486674802.17977,257.0657,2570.657,10,2.8461538461538463,4388,0.14845890990289948,24,0.0008119903914470346,22902,0.7748418310383327,2230,0.07544744053862029,,,,,,,,,1.1147302760338578,1.0,143957984686426.53,146.68844019819417,11753117.893999912,3.567386193472257,25169,308282325528.47876,5.421592177825896,1175.3117894,0.9498666806167263,0.9999999999999998,80123,29557,362028713721.05554,0.008365037557311482,73696994098479.4,146.73742173934252,6016821.241000001,41004,2.7786649524647293
"Houston, USA",268,0.049174311926605506,11,0.002018348623853211,3170,0.581651376146789,1939,0.35577981651376145,56,0.010275229357798165,4,0.0007339449541284404,2,0.0003669724770642202,,,1.0833264046555569,126.0,6301213944476.176,86.21695944572741,933298.5859999992,3.351098817674851,5182,34986542517.13992,3.9724770642201834,93.3298586,0.9699951279011185,0.9999999867805573,10825,5450,36795958455.88818,0.001525940996948118,3363169284412.5957,84.45791234316725,498132.76700000046,5898,3.279633027522936,6733,0.11251295077036196,224,0.003743190401390328,33885,0.566241101567461,18700,0.31248955583035326,288,0.004812673373216136,10,0.0001671067143477825,2,3.34213428695565e-05,,,1.0397655361881664,1.0,138372783716015.08,137.38041149184812,20494959.30799987,3.0220116029817383,53109,358568175712.61755,4.9859296146519165,2049.4959308,0.9754870126550316,0.9999999980467456,149184,59842,404026375397.66254,0.005638117585712424,85790370263747.94,138.03896547603614,12706762.850000078,92052,3.093980816149193
"Hull, United Kingdom",33,0.03441084462982273,0,0.0,584,0.6089676746611054,337,0.35140771637122004,5,0.005213764337851929,,,,,,,1.0485072832947437,90.0,15361689739695.07,92.73168206521758,170626.29500000036,3.537372803934601,926,83368889296.67966,3.83733055265902,17.0626295,0.9622344874363913,0.9990473806950051,1840,959,86339918828.85074,0.0010857763300760044,7683321222962.575,92.66086102062964,85340.6529999999,921,3.2930135557872786,3287,0.3544699665696107,32,0.003450878895718753,5567,0.6003450878895719,383,0.04130270678313383,4,0.00043135986196484415,,,,,,,1.0606372831146704,1.0,134175825834739.78,74.57222401801425,1490325.8970000148,3.5309926176760165,5986,538926750896.24664,4.310363420683705,149.03258970000002,0.9659459135867489,0.99999824616575,19985,9273,834859298540.076,0.004824195194359403,73336384025749.16,75.56975109008255,814566.3469999997,10779,2.3297746144721234
"Lancaster, United Kingdom",20,0.010746910263299301,2,0.0010746910263299302,1443,0.7753895754970446,379,0.20365394948952176,15,0.008060182697474477,2,0.0010746910263299302,,,,,1.0594739284008114,113.0,4323640594421.4375,111.32896531957584,388426.7600000001,3.566482530564331,1841,20492466415.882015,3.7495969908651263,38.842676000000004,0.9712583488927755,0.9990028601962251,3489,1861,20715089625.180027,0.0,2182989849855.3547,108.47080088495555,196115.20799999963,1808,3.200429876410532,1810,0.30756159728122345,13,0.0022090059473237043,3795,0.6448598130841121,262,0.044519966015293115,5,0.0008496176720475786,,,,,,,1.0805638970756264,1.0,22074229485498.254,147.4206260035686,1983102.2610000048,3.5609399660604732,4075,45359478894.46996,4.571622769753611,198.3102261,0.9598803252503393,0.9991519803654604,13452,5885,65506879335.94006,0.0032271643047565596,11651256490876.736,146.86745208362566,1046724.3310000001,7127,2.4288870008496177
