place,1way_int_count_road,1way_int_prop_road,2way_int_count_road,2way_int_prop_road,3way_int_count_road,3way_int_prop_road,4way_int_count_road,4way_int_prop_road,5way_int_count_road,5way_int_prop_road,6way_int_count_road,6way_int_prop_road,7way_int_count_road,7way_int_prop_road,8way_int_count_road,8way_int_prop_road,circuity_avg_road,disconnected_components_road,edge_density_km_road,edge_length_avg_road,edge_length_total_road,entropy_road,intersection_count_road,intersection_density_km_road,k_avg_road,length_road,linearity_mean_road,linearity_median_road,m_road,n_road,node_density_km_road,self_loop_proportion_road,street_density_km_road,street_length_avg_road,street_length_total_road,street_segment_count_road,streets_per_node_avg_road
"Copenhagen Municipality, Denmark",918,0.13138686131386862,115,0.0164591383998855,4412,0.6314584227851725,1458,0.20867325032202663,75,0.010734220695577501,8,0.0011449835408616,1,0.0001431229426077,,,1.0439755082069353,1.0,135651608934288.05,101.43217976951183,1777903.2470000035,3.550174406989581,6069,463056477348.45074,5.0173178760555315,177.7903247,0.9775864380103666,0.9999991648405354,17528,6987,533098633586.03156,0.002822659139575628,78740183548048.25,100.4477088767767,1031999.7610000038,10274,2.9549162730785743
"County Borough of Belfast, United Kingdom",2352,0.28402366863905326,29,0.003501992512981524,5389,0.6507668156019805,491,0.0592923559956527,16,0.0019321338002656683,4,0.0004830334500664171,,,,,1.064860330677911,1.0,159550577994615.38,77.32315830818848,1486305.748999999,3.559992188197627,5929,636460820774.2828,4.642434488588335,148.63057490000003,0.9666678044756215,0.9999899029294997,19222,8281,888941146370.6926,0.0014582928251993,85897752631762.83,77.79381275520142,800187.1580000017,10286,2.4930563941552952
"Coventry, United Kingdom",3038,0.31751672240802675,62,0.006479933110367893,6101,0.6376463210702341,360,0.03762541806020067,5,0.0005225752508361204,2,0.00020903010033444816,,,,,1.0538645059764027,1.0,135193934258492.27,84.08590092067088,1762692.7410000237,3.5643151842967074,6530,500833962819.35596,4.3818979933110365,176.26927410000002,0.9680880015243676,0.9994850553075666,20963,9568,733840636486.309,0.002621231979030144,73204693377880.73,83.39548492791577,954461.324999996,11445,2.3977842809364547
"District Zurich, Switzerland",656,0.14291938997821352,272,0.05925925925925926,2841,0.6189542483660131,777,0.169281045751634,38,0.008278867102396514,6,0.00130718954248366,,,,,1.0440217145977306,1.0,112210138753957.44,117.14654884563978,1227930.1249999963,3.5573372684643862,3934,359494955674.3466,4.567320261437908,122.7930125,0.9755671532449797,0.9992602286045748,10482,4590,419441242131.48224,0.0010736196319018406,68588023220223.33,115.11773742331287,750567.6479999999,6520,2.8446623093681915
"Dubai, UAE",3668,0.06495829422494555,1294,0.02291603945667381,47586,0.8427222979793507,3568,0.06318734836276055,312,0.005525351090017178,32,0.0005667026758991978,5,8.854729310924964e-05,2,3.541891724369986e-05,1.0737296616274021,1.0,30476858122895.45,140.6131101658649,16098935.596000038,3.55279056538717,52799,99953666031.84422,4.055147254148441,1609.8935596000001,0.9621644938444969,0.9998042619287767,114491,56467,106897548435.01103,0.00311762723289518,21436065846702.188,136.30019414752854,11323274.929000081,83076,2.9236368144225833
"Durham, United Kingdom",9184,0.3446153846153846,63,0.0023639774859287054,16541,0.6206754221388368,847,0.031782363977485927,15,0.0005628517823639775,,,,,,,1.0729627119324678,1.0,23659348396925.95,123.47465709351998,7364769.397000093,3.568003734301197,17466,56109588342.172966,4.47624765478424,736.4769396999999,0.9584509356797637,0.9999118315885219,59646,26650,85613221648.85545,0.0034021247231761725,12303869698376.334,122.92563552331703,3829994.0259999884,31157,2.341313320825516
"Edinburgh, United Kingdom",3983,0.29712793733681464,88,0.006564714658709437,8634,0.6440880268556509,681,0.05080193957478553,15,0.0011189854531891085,4,0.00029839612085042893,,,,,1.0761982504679086,1.0,76470896962964.58,97.02369533169492,3001136.9439999876,3.5389297185704067,9422,240078611749.2995,4.614994405072734,300.1136944,0.9564222939864423,0.9997291201462831,30932,13405,341568010029.6497,0.007844329583460019,41379898687227.81,98.75183490422606,1623973.9249999975,16445,2.4531145095113764
"Glasgow City, United Kingdom",3839,0.2368291178285009,99,0.006107341147439852,10544,0.6504626773596546,1694,0.10450339296730414,32,0.001974090067859346,2,0.00012338062924120913,,,,,1.0787039118780817,1.0,144381525039968.25,95.7931384365244,3652879.7479999852,3.5329202931378014,12371,488968695793.3373,4.704873534855028,365.2879748,0.9541984895921295,0.9999613841251381,38133,16210,640706697826.3679,0.008047437526471834,81841788694658.25,97.44518104381324,2070612.6519999874,21249,2.629056138186305
"Groningen, Netherlands",774,0.15473810475809677,74,0.01479408236705318,3344,0.6685325869652139,790,0.15793682526989206,18,0.003598560575769692,2,0.00039984006397441024,,,,,1.0858853629298928,1.0,107007136121087.9,105.23417530993522,1205352.243999998,3.415231947902699,4228,375347682614.8095,4.579768092762895,120.5352244,0.948692080840855,0.9998994199513207,11454,5002,444060810889.13837,0.010998307952622674,66562057313005.44,105.72051001128028,749769.8569999997,7092,2.842063174730108
"Gurugram, India",10016,0.18970774854631892,67,0.0012690114968653523,37738,0.7147754607269352,4959,0.09392579123813853,,,,,,,,,1.0643453494292328,1.0,118357953905983.62,100.64642447633669,13612328.264000062,3.3742440342085542,42781,371976896813.6796,5.123359281777374,1361.2328264,0.9706728278576767,0.9999999999999999,135249,52797,459065104160.0674,0.0009223674096848578,64644953731663.4,103.90336380406733,7434805.197000038,71555,2.7139041991022217
"Hannover, Germany",1428,0.18730325288562436,80,0.01049317943336831,4950,0.6492654774396642,1107,0.145199370409234,47,0.006164742917103882,12,0.0015739769150052466,,,,,1.05858579422682,1.0,90699263734828.7,128.53723838096707,2442078.991999993,3.5164474234990535,6196,230120581660.93924,4.983997901364114,244.2078992,0.9659848939184816,0.9999597819855273,18999,7624,283156764780.98785,0.005112668055292559,52173711384243.35,133.00302366975873,1404777.9359999918,10562,2.7771511017838404
"Harare, Zimbabwe",4388,0.14845890990289948,24,0.0008119903914470346,22902,0.7748418310383327,2230,0.07544744053862029,,,,,,,,,1.1147302760338578,1.0,143957984686426.53,146.68844019819417,11753117.893999912,3.567386193472257,25169,308282325528.47876,5.421592177825896,1175.3117894,0.9498666806167263,0.9999999999999998,80123,29557,362028713721.05554,0.008365037557311482,73696994098479.4,146.73742173934252,6016821.241000001,41004,2.7786649524647293
"Houston, USA",6733,0.11251295077036196,224,0.003743190401390328,33885,0.566241101567461,18700,0.31248955583035326,288,0.004812673373216136,10,0.0001671067143477825,2,3.34213428695565e-05,,,1.0397655361881664,1.0,138372783716015.08,137.38041149184812,20494959.30799987,3.0220116029817383,53109,358568175712.61755,4.9859296146519165,2049.4959308,0.9754870126550316,0.9999999980467456,149184,59842,404026375397.66254,0.005638117585712424,85790370263747.94,138.03896547603614,12706762.850000078,92052,3.093980816149193
"Hull, United Kingdom",3287,0.3544699665696107,32,0.003450878895718753,5567,0.6003450878895719,383,0.04130270678313383,4,0.00043135986196484415,,,,,,,1.0606372831146704,1.0,134175825834739.78,74.57222401801425,1490325.8970000148,3.5309926176760165,5986,538926750896.24664,4.310363420683705,149.03258970000002,0.9659459135867489,0.99999824616575,19985,9273,834859298540.076,0.004824195194359403,73336384025749.16,75.56975109008255,814566.3469999997,10779,2.3297746144721234
"Lancaster, United Kingdom",1810,0.30756159728122345,13,0.0022090059473237043,3795,0.6448598130841121,262,0.044519966015293115,5,0.0008496176720475786,,,,,,,1.0805638970756264,1.0,22074229485498.254,147.4206260035686,1983102.2610000048,3.5609399660604732,4075,45359478894.46996,4.571622769753611,198.3102261,0.9598803252503393,0.9991519803654604,13452,5885,65506879335.94006,0.0032271643047565596,11651256490876.736,146.86745208362566,1046724.3310000001,7127,2.4288870008496177
"Leeds, United Kingdom",10075,0.3241113077046807,167,0.005372366092970886,19206,0.6178542705484961,1574,0.050635354672671704,59,0.0018980215538040857,4,0.00012867942737654817,,,,,1.0597330449320843,1.0,79822859411539.05,86.12175425379692,6013020.882000101,3.5763785971271425,21010,278907775167.84406,4.492198809715297,601.3020882,0.9658103734227547,0.9998877118654854,69820,31085,412653412236.66974,0.0031891515248968216,43292150591510.29,87.39825958085396,3261178.657999985,37314,2.4012224545600773
"Lincoln, United Kingdom",1349,0.3676751158353775,21,0.005723630417007359,2177,0.5933496865630962,115,0.03134369037884982,7,0.0019078768056691197,,,,,,,1.0673002292280898,1.0,119484566573107.11,72.67183542220532,574034.8279999999,3.5626737381182236,2320,482904835958.1565,4.305805396565821,57.4034828,0.9660992425790113,0.9999997460599656,7899,3669,763697346176.9293,0.00667302192564347,63220691571917.05,72.38526906577704,303728.58900000044,4196,2.2940855819024257
"Lisbon, Portugal",1060,0.10467068233435371,204,0.020144169053026562,7256,0.7165004443566703,1532,0.15127875975116026,58,0.005727263750370297,17,0.0016786807544188801,,,,,1.067215951608976,1.0,204982689793683.75,88.85423486892827,1843903.0819999995,3.5600798024658844,9067,1007958643001.6777,4.0983509430236005,184.3903082,0.9607356898030399,0.9999334763493356,20752,10127,1125796534430.1301,0.004436974789915967,147103775083806.5,88.95856040336099,1323258.5859999948,14875,2.9382837957934234
"Liverpool, United Kingdom",4409,0.28469038548459996,46,0.0029702330987279655,9604,0.6201330147865952,1358,0.08768644669722994,64,0.004132498224317169,6,0.0003874217085297346,,,,,1.0521910869056392,1.0,151449037722300.7,77.29235745979693,2734835.483999995,3.5666997966830336,11078,613474722594.191,4.5693807709692,273.4835484,0.9704508366686703,0.9999999984712951,35383,15487,857635225565.6469,0.0034848562496797007,84390552061450.83,78.09702157536059,1523907.1820000112,19513,2.5247627042035257
"Lodz, Poland",1098,0.15425681371171676,92,0.012924978926664794,4762,0.6690081483562799,1139,0.1600168586681652,23,0.0032312447316661984,3,0.0004214667041303737,1,0.00014048890137679124,,,1.0371805915379886,1.0,76411744135732.88,168.5112614220532,2917435.469000007,3.4968454951362826,6020,157672279159.197,4.864568699072773,291.74354690000007,0.9778272790152643,0.9999310687505907,17313,7118,186430445690.2266,0.0013899920571882446,42920658843929.19,162.70159432088894,1638730.4579999936,10072,2.8468670974992976
"London, United Kingdom",32260,0.2531963488238849,2126,0.01668615739614319,84813,0.6656646600372025,7962,0.062490679768622805,222,0.0017423927290422334,23,0.00018051816562149266,5,3.9243079482933185e-05,,,1.0604874546837098,1.0,139752756551764.23,96.6354491775628,28799103.292998914,3.5666004727746743,95151,461737103526.0525,4.678057624537913,2879.9103292999994,0.9625911363976023,0.9997813478745676,298018,127411,618284475174.805,0.00479743152896603,75716418992496.1,95.96720155362878,15603019.398999842,162587,2.5435951369975904
"Madrid, Spain",1967,0.06391343904341044,320,0.010397712503249286,21836,0.7095139069404731,6435,0.2090914998700286,203,0.006596048869248765,15,0.0004873927735898102,,,,,1.0492367790008483,1.0,94278388883992.17,99.19537774646561,6054191.490000036,3.560961808814061,28809,448625734723.64923,3.966272420067585,605.419149,0.9742950487339788,0.9999828454212772,61033,30776,479256677144.4697,0.0015171629053669638,74064388350233.52,100.219714415156,4756126.987000058,47457,3.0855211853392253
"Manchester, United Kingdom",4107,0.2779507309149973,67,0.004534380075798592,9160,0.6199242014076881,1395,0.09440985381700054,41,0.0027747698971304817,6,0.0004060638873849486,,,,,1.0529937603163346,1.0,170877052153204.6,76.59912867289111,2674688.3750000116,3.565113986562941,10669,681607355257.7997,4.726312939902544,267.4688375,0.9721507114754198,0.9999999992124156,34918,14776,943990091038.4524,0.00278372591006424,92093849060471.17,77.16905813704574,1441518.0060000145,18680,2.540741743367623
"Medellín, Colombia",2734,0.15686499512307076,45,0.002581903723678926,11162,0.6404268747489816,3426,0.19656893682942223,58,0.0033277870216306157,3,0.0001721269149119284,,,,,1.1037093633179276,1.0,138750656879452.1,101.21778078436175,4245579.8150000535,3.5119039369086726,14695,480250281867.2184,4.813242297320557,424.5579815,0.9651383768416733,0.9999947598946572,41945,17429,569600691572.8989,0.00047759293162461197,81661956270925.05,99.44853414789543,2498743.8690000204,25126,2.8876585002008146
"Melbourne, Australia",35753,0.17093530820755304,1491,0.007128479974756288,155489,0.7433938449328508,16126,0.07709850306701536,272,0.0013004336372459493,27,0.00012908716252073762,3,1.4343018057859735e-05,,,1.06049513376795,1.0,63483566714326.13,123.990873423226,57305853.89699975,3.288867425368913,173408,192101811388.83997,4.419351599963664,5730.585389700001,0.9718199508824623,0.9999513633227186,462178,209161,231709073237.11224,0.002135049759588505,35429308454367.17,111.75504446564456,31981611.6050003,286176,2.7311449075114385
"Mexico City, Mexico",26366,0.21057928071114235,190,0.0015174870414593434,71904,0.5742809906794348,26261,0.2097406694513885,408,0.0032586037521863793,77,0.0006149815904861549,1,7.986773902417596e-06,,,1.043612496537585,1.0,191574036345441.1,83.35598808225001,24605854.12199938,3.427207132521205,98841,769547329368.6716,4.715231576509301,2460.5854122,0.9789811383185031,1.0,295190,125207,974825350494.8682,0.0010071127336816264,116019648063309.14,85.27048993745548,14901615.009999907,174757,2.7954587203590853
"Milan, Italy",717,0.05569364610843561,237,0.01840919683082181,9029,0.7013360260991145,2746,0.21329812024234893,135,0.01048625135932888,9,0.0006990834239552587,1,7.767593599502873e-05,,,1.0418040420110786,1.0,119687068222931.36,98.55175654089743,2504889.99599999,3.5524859554896047,12157,580878078761.8197,3.948578530371291,250.4889996,0.9775610741768591,0.9999188385701756,25417,12874,615137318909.2429,0.0019019970969517993,91397716499631.5,95.74211737324153,1912831.7629999926,19979,3.1068820879291597
"Milton Keynes, United Kingdom",4961,0.3236982904867545,43,0.00280568967767193,9937,0.6483753099308365,384,0.025055461307581888,1,6.524859715516116e-05,,,,,,,1.0606880674536616,1.0,144740425850377.47,67.29518271297327,2160511.841000007,3.5598001290358106,10365,694388471041.5515,4.189612423332898,216.0511841,0.9624950652020302,0.9995146339136085,32105,15326,1026743628285.8485,0.004672383465259455,81674705811597.94,67.01529540457358,1219142.2540000025,18192,2.3749836878507113
"Moscow, Russia",1057,0.06177312839693764,292,0.01706504587692128,12726,0.7437321021565075,2901,0.16954006194845422,120,0.00701303255215943,13,0.0007597451931506049,2,0.00011688387586932383,,,1.0545954507284307,1.0,54630209037362.51,225.6097416379271,8046822.654999946,3.577299835072197,16054,108991264439.1221,4.168897200631173,804.6822655000001,0.966957860642012,0.9998342201813589,35667,17111,116167280790.9442,0.000772021925422682,37754213972077.766,214.66272558480597,5561052.568999983,25906,3.0457015954649056
"New York City, USA",3721,0.06717091486749946,279,0.005036464726695068,26627,0.48066647411365443,24179,0.43647555780200736,537,0.009693840710520615,50,0.0009025922449274315,3,5.415553469564589e-05,,,1.0208721153819333,1.0,124935096017588.22,115.85039948134866,16216623.068999704,3.5355102861365593,51675,398111312030.82837,5.053758394107878,1621.6623069000002,0.989948045665346,0.9999999915131804,139979,55396,426778408152.10004,0.0008374207441081469,86290020520824.8,121.81184726315541,11200477.543999877,91949,3.3194093436349195
"Newcastle Upon Tyne, United Kingdom",3049,0.3102676299989824,42,0.004273939147247379,6158,0.6266408873511753,566,0.057596418031952784,11,0.001119365014755266,1,0.00010176045588684237,,,,,1.062053346239535,1.0,117178485810701.89,84.5063427271918,1895139.242000003,3.544101670517347,6778,419090987734.8928,4.564159967436654,189.51392420000005,0.9640645065751346,0.9999984353147081,22426,9827,607613918039.3615,0.0030135610246107484,63464850320048.9,85.92192382387435,1026423.3020000029,11946,2.4353312302839116
"Norwich, United Kingdom",1586,0.3345285804682556,41,0.008647964564437883,2924,0.6167475216199114,180,0.03796667369753216,10,0.002109259649862898,,,,,,,1.0618374612639827,1.0,137929189765937.64,71.63159378618268,742389.8379999973,3.5656897216657466,3155,586169922373.7689,4.372073402235816,74.2389838,0.9666694083261483,0.9998138497046443,10364,4741,880834105221.5652,0.005371530886302597,72910484572619.33,70.26558084153973,392433.2689999994,5585,2.364480067496309
"Nottingham, United Kingdom",2918,0.3105246355219751,55,0.005852931786740449,5881,0.6258380334149196,528,0.05618814515270831,9,0.0009577524741938917,,,,,,,1.0575448513328682,1.0,163309655156608.75,77.78088260268031,1630520.6419999874,3.5696841782833877,6479,648923557607.8503,4.461636692561456,163.05206420000002,0.9715058096878318,0.9999320567953043,20963,9397,941184545584.3447,0.002986385595081247,87578433878190.78,76.80306982872183,874402.9499999981,11385,2.433116952218793
"Oslo, Norway",1379,0.1674356483729966,141,0.01711996114618747,5700,0.6920835356969403,987,0.11983972802331229,28,0.003399708596406022,1,0.00012141816415735794,,,,,1.1118637773136313,1.0,38778086297989.36,159.92804894059867,2996571.8529999973,3.577232301672791,6857,88735178326.89638,4.5500242836328315,299.6571853,0.9419720079518971,0.9959206685114228,18737,8236,106580564197.21722,0.008644778204680405,21905581832564.92,147.8127090464546,1692751.143999998,11452,2.7750121418164158
"Oxford, United Kingdom",1138,0.32748201438848923,30,0.008633093525179856,2151,0.6189928057553957,155,0.04460431654676259,1,0.00028776978417266187,,,,,,,1.061561132191282,1.0,115198918870051.34,88.815560747664,684235.0800000035,3.555124227013189,2337,393461079778.76355,4.433956834532374,68.42350800000001,0.9633910034486262,0.9997099531188204,7704,3475,585056590599.5735,0.0050933786078098476,62159019264811.07,89.54632185301969,369199.48500000016,4123,2.38158273381295
"Paris, France",536,0.05557283566614826,158,0.01638154484188699,6449,0.6686365992742354,2311,0.23960601347848626,172,0.017833074131674443,18,0.0018662519440124418,1,0.00010368066355624676,,,1.0232759528089048,1.0,140467945162553.73,97.33300042923076,1814092.462000003,3.570822046868406,9109,705323757905.4004,3.8648004147226542,181.4092462,0.9859665488447886,0.999965691807004,18638,9645,746827055110.0656,0.0011255296610169492,115368389696527.75,98.6454465704448,1489940.8249999983,15104,3.153758424053914
"Reading, United Kingdom",1375,0.3125,26,0.005909090909090909,2831,0.6434090909090909,162,0.03681818181818182,5,0.0011363636363636363,1,0.00022727272727272727,,,,,1.062321959348641,1.0,149564389915062.56,82.48312837552734,781940.0569999992,3.5530326564584316,3025,578602254025.547,4.3090909090909095,78.1940057,0.9571655572934786,0.999273421692954,9480,4400,841603278582.6138,0.009493070058857035,81612523125660.75,81.01002088475389,426679.77999999875,5267,2.408863636363636
"Rome, Italy",7068,0.16403258372206364,539,0.012508993014458446,29143,0.6763443106129174,6084,0.1411961289424215,240,0.005569867019424911,12,0.00027849335097124555,,,,,1.0696841505904902,1.0,80525438048023.98,125.22734907943277,11229512.073999975,3.5781544916248778,36021,258302122551.14218,4.1622223769407505,1122.9512074000002,0.9655905629564088,0.9999797705293306,89673,43089,308985873757.14624,0.00326398733968547,51929654524251.54,119.37860484322961,7241744.926999995,60662,2.8128756759265707
"Roosendaal, Netherlands",564,0.2180131426362582,31,0.01198299188248937,1749,0.6760726710475454,235,0.09083880943177426,7,0.002705836876691148,,,,,,,1.1044282388857332,1.0,110544278986841.95,109.48006403292183,665091.3890000001,3.461706541176873,2023,336241124286.1261,4.696559721685349,66.5091389,0.9448232499227563,0.9999926780710338,6075,2587,429983088743.5533,0.008208736440926415,62974494790942.97,111.07799355027825,378887.0359999991,3411,2.6494008504058755
"Rotterdam, Netherlands",1475,0.1310412224591329,223,0.019811656005685855,7233,0.642590618336887,2249,0.1998045486851457,67,0.005952380952380952,9,0.0007995735607675906,,,,,1.0681126800206258,1.0,141993232760823.38,94.54595158036398,2390027.110000021,3.563274443757267,9781,581096257788.3066,4.491648898365316,239.002711,0.9626986540362453,0.9999868108552602,25279,11256,668727070612.9413,0.005951296532458857,94646078415058.55,96.74383937572085,1593080.8029999952,16467,2.932213930348259
"Salzburg, Austria",618,0.21142661648990763,55,0.01881628463906945,1932,0.660964762230585,310,0.10605542251111871,8,0.0027369141293191925,,,,,,,1.0751172823543915,1.0,107681932702685.44,121.12967646219722,849119.0320000026,3.568389047491393,2305,292311025340.0718,4.796442011631885,84.91190320000001,0.9657763112951614,0.9990781009121439,7010,2923,370683352307.6051,0.001545993300695697,58489827255156.39,118.83994150992012,461217.813,3881,2.669859733150872
"San Francisco, USA",804,0.08319536423841059,106,0.010968543046357616,4253,0.4400869205298013,4299,0.4448468543046358,178,0.01841887417218543,22,0.0022764900662251655,2,0.00020695364238410596,,,1.0327814905311137,1.0,50570903095795.766,115.73129540041568,3109931.36999997,3.249947580901786,8860,144073340573.0284,5.561258278145695,310.99313700000005,0.9843168432491584,0.9999997099932756,26872,9664,157147264480.5583,0.0014362432871237666,30140878093486.46,115.74604814537324,1853557.215000007,16014,3.3119826158940397
"Sevilla, Spain",817,0.08010589273458182,121,0.011863908226296696,7313,0.7170310814785763,1898,0.18609667614472006,44,0.0043141484459260715,6,0.0005882929698990097,,,,,1.0412696446508098,1.0,120262773445585.67,85.51689602809475,1728895.0869999917,3.560561824351443,9382,652616430546.0198,3.9645063241494265,172.8895087,0.9769570578443102,0.9999999962987356,20217,10199,709447343331.7902,0.0020772476468679,90238867760454.17,84.21110379746813,1297272.0539999965,15405,3.024414158250809
Singapore,2461,0.10329485834207765,282,0.011836306400839455,16158,0.6781951731374607,4883,0.20495278069254985,29,0.001217208814270724,12,0.0005036726128016789,,,,,1.0748754864870675,1.0,41062400866885.41,127.11319176550401,5798014.015999935,3.578269202476744,21364,151303037505.48053,3.82900314795383,579.8014016000001,0.9680915854978891,0.9999152933923031,45613,23825,168732206916.6857,0.003752135076862767,32072134434884.207,126.80502158877702,4528587.735999994,35713,2.9904721930745017
