place,1way_int_count_road,1way_int_prop_road,2way_int_count_road,2way_int_prop_road,3way_int_count_road,3way_int_prop_road,4way_int_count_road,4way_int_prop_road,5way_int_count_road,5way_int_prop_road,6way_int_count_road,6way_int_prop_road,7way_int_count_road,7way_int_prop_road,8way_int_count_road,8way_int_prop_road,circuity_avg_road,disconnected_components_road,edge_density_km_road,edge_length_avg_road,edge_length_total_road,entropy_road,intersection_count_road,intersection_density_km_road,k_avg_road,length_road,linearity_mean_road,linearity_median_road,m_road,n_road,node_density_km_road,self_loop_proportion_road,street_density_km_road,street_length_avg_road,street_length_total_road,street_segment_count_road,streets_per_node_avg_road
"Aberdeen, United Kingdom",2387,0.2613312896868842,69,0.007554193124589446,6234,0.6825049266476899,429,0.04696737464418656,14,0.001532734836873221,,,,,,,1.0827463122831298,1.0,66044226593414.82,95.64605792769784,2016027.609000015,3.5512422343202097,6747,221028915892.07718,4.6152835559448215,201.60276090000002,0.9522022514852121,0.9996897495283774,21078,9134,299226043835.51697,0.011992700095593986,36340143477848.24,96.40202155209867,1109298.0619999995,11507,2.520144514998905
"Amsterdam, Netherlands",1513,0.12149682807355658,243,0.019513370272223562,7764,0.6234642254878343,2799,0.22476511683931583,108,0.008672609009877139,24,0.001927246446639364,2,0.00016060387055328034,,,1.070691868649791,1.0,93560845973112.23,94.05269683823327,2709940.354000015,3.4938563494996377,10940,377704126747.6701,4.627479322251666,270.99403540000003,0.9637623895364862,0.9999847430562709,28813,12453,429940538426.7583,0.003709278572196538,62244862583725.7,96.9191205246745,1802889.479999995,18602,2.9860274632618644
"Berlin, Germany",3238,0.11568004001286128,384,0.013718695294916223,16988,0.6069093637240541,7259,0.25933335715051264,115,0.004108463434675432,7,0.0002500803829802437,,,,,1.0419307029733995,1.0,90139796478699.75,145.39336674736492,10630145.223000092,3.5716248556472685,24753,209896509918.75592,5.224036297381301,1063.0145223,0.9767297790610115,0.999967159019872,73113,27991,237353581753.15707,0.0037784862439485182,51909138860742.48,144.5653831385067,6121621.149000066,42345,3.0232217498481653
"Birmingham, United Kingdom",7789,0.3005131370809059,140,0.005401442956904202,16454,0.6348238743778695,1495,0.05767969443265558,38,0.001466105945445426,3,0.00011574520621937575,,,,,1.0541668637403814,1.0,141077071926176.06,87.03876775956132,5001421.672999913,3.5820140330372037,18130,511400054074.508,4.433967359851846,500.14216730000004,0.9631188056347024,0.9998322680882236,57462,25919,731107446307.6212,0.007785903416971378,77193013079203.78,86.2635022695753,2736623.346000007,31724,2.4545314248234886
"Bordeaux, France",282,0.06470858191831115,65,0.014915098669114273,3121,0.716154199173933,841,0.1929784304726939,48,0.01101422670949977,1,0.0002294630564479119,,,,,1.0307694993237844,1.0,142337043402401.9,91.11825324309028,807763.3149999953,3.565300132627689,4076,718237357570.7552,4.0683799908214775,80.77633150000001,0.9789650731895657,0.9998592098558814,8865,4358,767928951004.257,0.0010614101592115238,105155244122439.95,90.48619393479869,596756.4489999973,6595,3.0713630105553005
"Bristol, United Kingdom",3213,0.2640098603122432,286,0.023500410846343467,8105,0.6659819227608874,554,0.04552177485620378,10,0.0008216926869350862,2,0.00016433853738701725,,,,,1.0555898789566116,1.0,154708345522603.22,80.09408695339721,2229098.5339999977,3.5777633121702976,8957,621651591309.1343,4.573705834018077,222.9098534,0.96885342221354,0.9998595125148114,27831,12170,844646630147.6124,0.002029858564693557,83321366478980.69,78.60967358564719,1200526.9350000038,15272,2.496138044371405
"Brussels, Belgium",103,0.04486062717770035,48,0.020905923344947737,1638,0.7134146341463414,476,0.2073170731707317,25,0.01088850174216028,5,0.0021777003484320556,1,0.00043554006968641115,,,1.033675079257944,1.0,101881179934917.25,95.79007187360948,430480.583000001,3.543472304473091,2193,519013949572.8963,3.9146341463414633,43.0480583,0.9790450285456928,0.9996866060895588,4494,2296,543390801741.6188,0.00028951939779965256,77154146711400.06,94.38360046323122,326000.95600000065,3454,3.1267421602787455
"Budapest, Hungary",2324,0.09701118717649024,258,0.010769744531641343,15800,0.6595424945733845,5417,0.22612289196860913,134,0.005593588245116046,23,0.0009600935047587244,,,,,1.0329674628921854,1.0,126380146785523.14,126.0060137380087,7933842.64899998,3.5273835189160523,21632,344581491745.2421,5.256637168141593,793.3842649000002,0.9835198997381436,0.9999999772293157,62964,23956,381601063990.80164,0.0005237333921384861,71673626001708.64,124.02829318044003,4499498.420000004,36278,3.0353982300884956
"Cambridge, United Kingdom",1075,0.3319950586781964,48,0.014823965410747375,1963,0.6062384187770229,148,0.04570722668313774,4,0.0012353304508956147,,,,,,,1.072658905639433,1.0,116047239089422.56,87.09339349319886,621062.9890000011,3.5520094897928867,2163,404162190625.11316,4.404570722668314,62.1062989,0.9578789170867112,0.9998634459797865,7131,3238,605028743987.1088,0.006546216286986122,61146711681923.22,85.68884420005243,327245.69600000023,3819,2.3693638048177887
"Cebu City, Philippines",2318,0.3148600923662048,26,0.0035316490084216245,4340,0.5895137190980712,671,0.09114371094811193,,,,,,,,,1.151835750211914,1.0,73734890789269.78,115.91094798956163,1954490.4049999884,3.566938875986706,5044,190289391132.14987,4.580820429231188,195.44904050000002,0.9458266035085605,0.9999286727637723,16862,7362,277738005058.463,0.003761894224385926,39188345283874.76,114.93309194512068,1038765.2850000007,9038,2.4599293670198317
"City of Chester, United Kingdom",824,0.33400891771382246,20,0.008107012565869477,1533,0.6214025131738954,88,0.0356708552898257,2,0.0008107012565869477,,,,,,,1.077128485358931,1.0,157109314735166.94,73.93526495882894,404056.2230000002,3.5547782598863074,1643,638848233033.8448,4.430482367247669,40.405622300000005,0.9612013116455764,0.9999905205009445,5465,2467,959244425377.0513,0.004499826929733472,82134206254887.05,73.11666735894781,211234.0520000002,2889,2.361167409809485
"City of Durham, United Kingdom",251,0.3337765957446808,9,0.011968085106382979,461,0.613031914893617,29,0.03856382978723404,2,0.0026595744680851063,,,,,,,1.0756206019295975,1.0,64403819506958.92,83.49535585585569,129751.78299999975,3.5428543278714466,501,248677226832.3009,4.132978723404255,12.9751783,0.9576928549434242,0.9984058597260084,1554,752,373264021113.55347,0.0056753688989784334,35958044998933.34,82.22840635641302,72443.22599999986,881,2.3643617021276597
"Columbus, USA",3934,0.17679309724968542,122,0.005482653244652166,14255,0.6406165737911199,3838,0.17247887830307387,100,0.004493978069387021,,,,,,,1.0875514814756062,1.0,130815462100501.62,138.65620857794065,8030412.976000011,3.0148791612677774,18318,298400299202.3689,5.205464677332374,803.0412976,0.9531584259410418,0.999980818726895,57916,22252,362485176211.9834,0.008155239660896754,72843813694179.69,144.14105038197457,4471687.805999997,31023,2.82280244472407
