place,1way_int_count_bike,1way_int_prop_bike,2way_int_count_bike,2way_int_prop_bike,3way_int_count_bike,3way_int_prop_bike,4way_int_count_bike,4way_int_prop_bike,5way_int_count_bike,5way_int_prop_bike,6way_int_count_bike,6way_int_prop_bike,7way_int_count_bike,7way_int_prop_bike,8way_int_count_bike,8way_int_prop_bike,circuity_avg_bike,disconnected_components_bike,edge_density_km_bike,edge_length_avg_bike,edge_length_total_bike,entropy_bike,intersection_count_bike,intersection_density_km_bike,k_avg_bike,length_bike,linearity_mean_bike,linearity_median_bike,m_bike,n_bike,node_density_km_bike,self_loop_proportion_bike,street_density_km_bike,street_length_avg_bike,street_length_total_bike,street_segment_count_bike,streets_per_node_avg_bike
"City of Chester, United Kingdom",2,0.006349206349206349,0,0.0,238,0.7555555555555555,71,0.2253968253968254,4,0.012698412698412698,,,,,,,1.0566775402556534,45.0,19253994544522.56,90.19622586520953,49517.72800000003,3.4450481853560055,313,121703893450.7568,3.4857142857142858,4.9517728,0.9636021210788854,0.9992272940536623,549,315,122481554111.78401,0.007220216606498195,9653179940227.072,89.62527436823109,24826.201000000012,277,3.238095238095238
"City of Durham, United Kingdom",5,0.012853470437017995,0,0.0,270,0.6940874035989717,106,0.27249357326478146,7,0.017994858611825194,1,0.002570694087403599,,,,,1.0235629189300517,32.0,21416279334042.953,59.023961696306536,43146.516000000076,3.5284725426636436,384,190602904398.41028,3.7583547557840618,4.3146516,0.9726730257553232,0.9996277842426772,731,389,193084713049.43124,0.0,10728387751081.672,59.054784153005436,21614.05099999999,366,3.290488431876607
"Columbus, USA",82,0.0464326160815402,0,0.0,1010,0.5719139297848245,664,0.37599093997734995,10,0.0056625141562853904,,,,,,,1.0965427020290122,119.0,6148879228885.326,105.9397493685095,377463.32699999935,3.360234132818383,1684,27432367281.187313,4.0351075877689695,37.7463327,0.964409800771517,0.9982327346384781,3563,1766,28768147635.734436,0.0,3074872708642.623,105.86553561413353,188758.2500000001,1783,3.2944507361268403
"Copenhagen Municipality, Denmark",61,0.007671990944535278,10,0.0012577034335303735,5302,0.6668343604578041,2379,0.29920764683687584,160,0.020123254936485976,34,0.00427619167400327,3,0.00037731103005911207,2,0.00025154068670607473,1.023361347044745,488.0,55919490658562.65,53.189839611002334,732902.8000000012,3.5756594604405763,7890,601996310146.5277,3.465979122123003,73.29028000000001,0.9852232280458322,0.9999999999999999,13779,7951,606650527500.0052,0.00038284839203675346,31047615741514.836,51.92984201123015,406922.24199999945,7836,3.3384479939630234
"County Borough of Belfast, United Kingdom",15,0.013673655423883319,4,0.0036463081130355514,755,0.6882406563354604,314,0.2862351868732908,5,0.004557885141294439,4,0.0036463081130355514,,,,,1.0751513710988805,85.0,16926702901996.74,76.06464544138929,157682.00999999998,3.552489244761516,1082,116149537540.52522,3.779398359161349,15.768201000000001,0.9643263868863453,0.9990581783412813,2073,1097,117759743698.6656,0.0009302325581395349,8929579988569.139,77.38064465116288,83184.1930000001,1075,3.275296262534184
"Coventry, United Kingdom",24,0.012903225806451613,10,0.005376344086021506,1240,0.6666666666666666,569,0.30591397849462365,16,0.008602150537634409,1,0.0005376344086021505,,,,,1.0431638688931302,118.0,17124624150501.53,63.4665108015919,223275.18500000032,3.555127761028621,1836,140816409760.54175,3.782795698924731,22.3275185,0.9705360812008096,0.9997936018905043,3518,1860,142657147143.03247,0.0,8596568849866.722,63.074980866629105,112084.24099999992,1777,3.293548387096774
"District Zurich, Switzerland",30,0.00904977375565611,11,0.0033182503770739064,2072,0.6250377073906486,1074,0.3239819004524887,103,0.031070889894419307,18,0.005429864253393665,7,0.0021116138763197585,,,1.0432659026718725,409.0,21994361494181.484,44.737389405204645,240687.155000001,3.550044003090474,3285,300188339956.8451,3.2458521870286576,24.0687155,0.98247014476077,0.9999999999999998,5380,3315,302929785983.84827,0.0003316749585406302,12558608661127.084,45.582250746268684,137430.4860000001,3015,3.389441930618401
"Dubai, UAE",199,0.04839494163424125,11,0.0026750972762645915,2094,0.5092412451361867,1726,0.41974708171206226,74,0.01799610894941634,4,0.0009727626459143969,2,0.00048638132295719845,2,0.00048638132295719845,1.1732486667204487,255.0,2495591671514.9053,161.78918114874745,1318258.247999994,3.472291851295168,3913,7407691342.309635,3.963035019455253,131.82582480000002,0.9558398835683555,0.9999999999999998,8148,4112,7784417786.756253,0.0036407766990291263,1278941893327.339,163.97610533980546,675581.5539999985,4120,3.3635700389105057
"Durham, United Kingdom",46,0.012124406958355299,14,0.0036900369003690036,2612,0.6884554559831313,1072,0.28255139694254083,49,0.012915129151291513,1,0.0002635740643120717,,,,,1.0419457596545338,397.0,3697246641688.11,168.55486189220898,1150892.5970000029,3.575713347261689,3748,12040463592.491943,3.599367422245651,115.08925970000001,0.9694668408455938,0.9976314501207508,6828,3794,12188238759.315483,0.0002875215641173088,1869487055753.3867,167.32054025301846,581940.8389999982,3478,3.2812335266209804
"Edinburgh, United Kingdom",60,0.013380909901873328,2,0.00044603033006244426,3333,0.7433095450490633,1037,0.23126672613737734,48,0.010704727921498661,4,0.0008920606601248885,,,,,1.0472984056911105,427.0,15990513218350.197,74.56693714353617,627555.3430000003,3.5604196204546237,4424,112726361534.58937,3.753791257805531,62.7555343,0.964599835808092,0.9994889058355851,8416,4484,114255200072.58109,0.00047080979284369113,8031861653991.827,74.20297881355924,315214.25399999967,4248,3.2281445138269405
