place,1way_int_count_bike,1way_int_prop_bike,2way_int_count_bike,2way_int_prop_bike,3way_int_count_bike,3way_int_prop_bike,4way_int_count_bike,4way_int_prop_bike,5way_int_count_bike,5way_int_prop_bike,6way_int_count_bike,6way_int_prop_bike,7way_int_count_bike,7way_int_prop_bike,8way_int_count_bike,8way_int_prop_bike,circuity_avg_bike,disconnected_components_bike,edge_density_km_bike,edge_length_avg_bike,edge_length_total_bike,entropy_bike,intersection_count_bike,intersection_density_km_bike,k_avg_bike,length_bike,linearity_mean_bike,linearity_median_bike,m_bike,n_bike,node_density_km_bike,self_loop_proportion_bike,street_density_km_bike,street_length_avg_bike,street_length_total_bike,street_segment_count_bike,streets_per_node_avg_bike
"Roosendaal, Netherlands",5,0.0029568302779420462,1,0.0005913660555884093,802,0.4742755765819042,851,0.5032525133057363,32,0.018923713778829097,,,,,,,1.0234617044238454,57.0,27255253778145.113,58.92262378727996,163981.66200000013,3.5001820964856307,1686,280228638431.245,3.291543465405086,16.398166200000002,0.9859303723615774,0.9999999999999998,2783,1691,281059684215.442,0.0,16823134553237.143,58.00381260744992,101216.65300000012,1745,3.534594914251922
"Rotterdam, Netherlands",28,0.0028670899037476962,17,0.0017407331558468154,4286,0.4388695474093795,5190,0.5314355928732337,215,0.022015154618062666,27,0.002764693835756707,3,0.00030718820397296744,,,1.0173823822311576,300.0,51773228728429.57,53.059297247929784,871445.8979999988,3.5619986615661636,9738,578541596804.2664,3.3635060413680113,87.1445898,0.9915656862420031,0.9999999993821429,16424,9766,580205096979.9205,0.0,30789899893985.69,50.899130622667556,518254.9480000011,10182,3.577513823469179
"Salzburg, Austria",74,0.032229965156794424,3,0.0013066202090592336,1450,0.6315331010452961,726,0.3162020905923345,36,0.0156794425087108,5,0.0021777003484320556,1,0.00043554006968641115,1,0.00043554006968641115,1.034674673831723,206.0,33434851991738.977,61.00148056455344,263648.399,3.5373915732277013,2222,281785292106.5681,3.764808362369338,26.3648399,0.9798222977894332,0.9999754766846041,4322,2296,291169680772.58344,0.00045351473922902497,17043964866851.967,60.95197324263027,134399.10099999973,2205,3.292247386759582
"San Francisco, USA",31,0.013213981244671782,4,0.0017050298380221654,1132,0.4825234441602728,1096,0.46717817561807334,71,0.030264279624893437,11,0.004688832054560955,1,0.00042625745950554135,,,1.0338659848312932,147.0,3960018896998.73,57.4085648279112,243527.1319999993,3.4144532844863194,2315,37644445082.0046,3.6163682864450126,24.3527132,0.9845600720022716,0.9999999930034302,4242,2346,38148539163.01633,0.0,2084793745181.6445,56.35491384615388,128207.42900000008,2275,3.5153452685421995
"Sevilla, Spain",57,0.021541950113378686,10,0.003779289493575208,875,0.3306878306878307,1621,0.6126228269085412,77,0.0291005291005291,4,0.0015117157974300832,2,0.0007558578987150416,,,1.0605967425900773,63.0,29218732060149.746,77.49960774907767,420047.874000001,3.562065744774397,2589,180092084703.01056,4.096749811035525,42.004787400000005,0.965026869979194,0.9999118935143385,5420,2646,184057032106.66898,0.0010676156583629894,15079735600905.172,77.14802846975095,216785.96000000017,2810,3.631519274376417
Singapore,148,0.014545454545454545,11,0.001081081081081081,6129,0.6023587223587223,3821,0.37552825552825553,51,0.005012285012285012,14,0.0013759213759213758,1,9.828009828009828e-05,,,1.0631704917078821,489.0,10559653682863.375,73.6053648121641,1491023.8750000081,3.5698697610450667,10027,71012710965.52393,3.981719901719902,149.10238750000002,0.9776617068785375,0.9999997407743381,20257,10175,72060869060.95601,0.0007844675426554226,5406365511497.129,74.8557763286917,763379.206999998,10198,3.35990171990172
"Sunderland, United Kingdom",24,0.01867704280155642,2,0.0015564202334630351,874,0.6801556420233463,376,0.2926070038910506,8,0.0062256809338521405,1,0.0007782101167315176,,,,,1.0589356347905483,121.0,14374335782154.758,119.41341291418868,281099.1740000002,3.563417243895113,1261,64482713212.44487,3.6638132295719843,28.1099174,0.960538294060811,0.9972770108057234,2354,1285,65709981346.54374,0.0,7253592858384.364,118.80114656616398,141848.56899999978,1194,3.2684824902723735
"Swansea, United Kingdom",28,0.022134387351778657,1,0.0007905138339920949,845,0.6679841897233202,371,0.2932806324110672,17,0.013438735177865613,3,0.0023715415019762848,,,,,1.0479003962718136,99.0,6117606778633.562,138.56939867385,334367.9590000001,3.5560065932060883,1237,22632191217.728832,3.81501976284585,33.43679590000001,0.9647233257010736,0.9959377307775628,2413,1265,23144480105.438133,0.0,3077417964080.6567,137.86999180327834,168201.38999999958,1220,3.282213438735178
"Toronto, Canada",15,0.007009345794392523,6,0.002803738317757009,922,0.4308411214953271,1167,0.5453271028037383,23,0.01074766355140187,6,0.002803738317757009,0,0.0,1,0.00046728971962616824,1.0260426192438639,101.0,17759975972647.96,64.90276160567997,237673.91300000003,2.9852047723646242,2125,158788772673.91525,3.4224299065420563,23.7673913,0.9873036298283916,0.999999995589311,3662,2140,159909634598.6723,0.0,10160838118100.617,64.04993311351855,135978.00799999989,2123,3.560747663551402
"Utrecht, Netherlands",26,0.0042932628797886395,12,0.0019815059445178335,2926,0.4831571994715984,2957,0.4882760898282695,104,0.017173051519154558,29,0.004788639365918098,2,0.00033025099075297226,,,1.019917556271552,200.0,50716084010150.07,47.17327503072713,498951.73000000085,3.550143248612366,6030,612920986527.5032,3.4930647291941876,49.89517300000001,0.990474618245353,0.9999999999999998,10577,6056,615563763583.8407,0.0,29235147093240.582,45.90158825406945,287619.3519999992,6266,3.52774108322325
"Vienna, Austria",80,0.006332119677061897,30,0.0023745448788982113,6770,0.535855627671363,5294,0.419028019629571,364,0.02881114453063163,70,0.00554060471742916,21,0.0016621814152287479,5,0.00039575747981636855,1.025018588926075,558.0,27887021414921.496,59.362678229157844,1399890.6780000003,3.549369068072676,12554,250086433422.85645,3.733101155611841,139.9890678,0.9858313027082914,0.9999999999999998,23582,12634,251680101948.73096,0.00030532020456453706,15436247464427.664,59.146530875505356,774878.7009999957,13101,3.4868608516700967
